filename,title,source,url,topic,lang,role
Libro INIA N° 03.pdf,"Plagas de cítricos, sus enemigos naturales y manejo",INIA Chile - Colección Libros N° 3,,plagas,es,answerable
Libro INIA N° 04.pdf,Alfalfa en la Zona Centro Sur de Chile,INIA Chile - Colección Libros N° 4,,cultivos,es,answerable
Libro INIA N° 06.pdf,El Nogal en Chile,INIA Chile - Colección Libros N° 6,,fruticultura,es,answerable
Libro INIA N° 12.pdf,Control Biológico de Plagas en Chile: Historia y Avances,INIA Chile - Colección Libros N° 12,,control-biologico,es,answerable
Libro INIA N° 36.pdf,Cultivo del Avellano Europeo en Chile,INIA Chile - Colección Libros N° 36,,fruticultura,es,answerable
Libro INIA N° 37.pdf,Fertilización Fosfatada de Praderas en Suelos Trumaos de la Región de Los Lagos,INIA Chile - Colección Libros N° 37,,suelos,es,answerable
Libro INIA N° 45.pdf,"Agroecología: fundamentos y técnicas de producción, y experiencia en la Región de Los Ríos",INIA Chile - Colección Libros N° 45,,agroecologia,es,answerable
Cartilla-del-suelo-Cómo-reconocer-y-sanar-sus-problemas.pdf,Cartilla del suelo: cómo reconocer y sanar sus problemas,Ana Primavesi - MST/Vía Campesina,,suelos,es,answerable
Cosecha de agua lluvia para enfrentar la escasez de agua en áreas de secano - guía practica campesina.pdf,Cosecha de agua de lluvia para enfrentar la escasez de agua en áreas de secano,Guía práctica campesina - Chile 2015,,agua,es,answerable
NR43250.pdf,Bandas florales como estrategia para atraer fauna auxiliar en producción de hortalizas,INIA Rayentué / INIA Intihuasi,,control-biologico,es,answerable
Crop-Rotation-on-Organic-Farms.pdf,Crop Rotation on Organic Farms: A Planning Manual,Mohler & Johnson (eds.) - SARE/NRAES,,rotacion,en,answerable
Rodale_Farming_Systems_Trial.pdf,The Farming Systems Trial,Rodale Institute,https://rodaleinstitute.org/wp-content/uploads/farming-systems-trial.pdf,organic,en,answerable
FAO_Training_Manual_Organic_Agriculture.pdf,Training Manual for Organic Agriculture,FAO,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,organic,en,answerable
Koepf_Biodynamic_Agriculture_Introduction.pdf,Bio-Dynamic Agriculture: An Introduction,Herbert H. Koepf,https://considera.org/downloads/KoepfBDagricultureAnIntro.pdf,biodynamics,en,answerable
