filename,title,source,url,topic,lang,role
Cosecha de Agua y Tierra. Eugenio Gras.pdf,Cosecha de Agua y Tierra,Eugenio Gras - Keyline / Permacultura,,agua,es,answerable
The Market Gardener A Successful Grower's Handbook.pdf,The Market Gardener: A Successful Grower's Handbook,Jean-Martin Fortier,,horticultura,en,answerable
All New Square Foot Gardening.pdf,All New Square Foot Gardening (3rd Edition),Mel Bartholomew,,horticultura,en,answerable
sepp-holzer-permaculture.pdf,Sepp Holzer's Permaculture,Sepp Holzer (copyright),,permaculture,en,answerable
Biodynamic Gardening.pdf,Biodynamic Gardening,DK (copyright),,biodynamics,en,answerable
Fruit Trees in Small Spaces Abundant Harvests from Your Own Backyard ( PDFDrive ).pdf,Fruit Trees in Small Spaces,Colby Eierman (copyright),,fruticultura,en,answerable
Permaculture_Two.pdf,Permaculture Two: Practical Design for Town and Country,Bill Mollison (copyright),,permaculture,en,answerable
The_One_Straw_Revolution.pdf,The One-Straw Revolution,Masanobu Fukuoka (copyright),,organic,en,answerable
The_Natural_Way_of_Farming.pdf,The Natural Way of Farming,Masanobu Fukuoka (copyright),,organic,en,answerable
Mushroom_Cultivator-A_Practical_Guide_to_Growing_Mushrooms_at_Home.pdf,The Mushroom Cultivator,Stamets & Chilton (copyright),,mushrooms,en,answerable
David_Holmgren-The_Flywire_House.pdf,The Flywire House,David Holmgren (copyright),,permaculture,en,answerable
